Rank,Name,Game,Score
1,安赛龙,16,105655
2,奈良冈功大,23,83515
3,李诗沣,23,83398
4,安东尼·西尼苏卡·金廷,20,83331
5,乔纳坦·克里斯蒂,18,82111
6,石宇奇,22,81824
7,昆拉武特·威提讪,19,81578
8,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,75487
9,安德斯·安东森,22,70930
10,骆建佑,22,68362
11,李梓嘉,24,68226
12,西本拳太,27,67217
13,常山干太,23,63821
14,周天成,28,61737
15,黄智勇,24,59840
16,拉克什亚·森,22,57851
17,李卓耀,27,57564
18,翁泓阳,21,57040
19,陆光祖,20,55570
20,伍家朗,25,54522
21,林俊易,26,51528
22,兹科·奥拉德维·瓦多约,19,49064
23,渡边航贵,17,48920
24,斯里坎特,22,48183
25,托马·朱尼尔·波波夫,24,47907
26,杨灿,26,47686
27,克里斯托·波波夫,21,46430
28,王子维,25,46040
29,拉斯穆斯·格姆克,15,45709
30,赵俊鹏,16,42708
31,普里耶修·拉贾瓦特,17,42110
32,马格纳斯·约翰森,20,39950
33,李佳豪,23,38548
34,大林拓真,12,38220
35,苏力扬,20,38150
36,王高伦,25,38024
37,基兰·乔治,20,36490
38,桃田贤斗,12,36300
39,梁峻豪,17,36298
40,戚又仁,21,35770
41,阮日,21,35363
42,凯文·科登,15,35282
43,阿诺·梅克尔,16,34259
44,亚历克斯·拉尼尔,13,34170
45,米沙·西尔伯曼,18,33731
46,朱利安·卡拉吉,21,33650
47,伊戈尔·科埃略·德奥利维拉,18,32830
48,雷兰曦,11,32347
49,简·劳达,18,31394
50,舍沙·海仁·雷斯塔维托,11,30770
51,萨西什·库马尔·卡鲁纳卡兰,19,30660
52,马克·卡尔乔,18,30175
53,玛兹·克里斯托弗森,19,29990
54,乌里尔·弗朗西斯科,16,29750
55,黄郁岂,20,29330
56,田中涌士,13,28990
57,全奕陈,17,28899
58,卡尔·科尔约宁,18,28461
59,乔纳森·马蒂耶斯,19,27421
60,阿尔维·法汉,11,27150
61,郑加恒,17,27096
62,詹俊为,19,26830
63,阿德·雷斯基·德维卡约,22,26443
64,米森·曼朱纳特,20,25480
65,高桥洸士,13,24620
66,乔瓦尼·托蒂,23,24050
67,贺首维,8,24000
68,巴勃罗·阿比扬,22,23925
69,廖倬甫,17,23703
70,宋俊伟,20,23610
71,桑卡尔·穆图萨米·苏布拉马尼安,21,22800
72,陈延泽,11,22330
73,德米特里·帕纳林,20,22310
74,萨米尔·维尔马,9,21920
75,乔金·奥尔多夫,21,21894
76,舒之颢,25,21869
77,凯·谢弗,26,21721
78,路易斯·拉蒙·加里多,14,21606
79,路易斯,22,21592
80,法比安·罗斯,23,21427
81,维克多·斯文德森,12,21220
82,维伦·内塔辛格,16,21170
83,黎德发,18,20970
84,西蒂空·达玛新,9,20914
85,汤米·苏吉亚托,11,20750
86,秦野陆,14,20650
87,卢卡斯·克莱伯特,12,20416
88,柯林斯·瓦伦丁·菲利蒙,14,20330
89,法比奥·卡波尼奥,22,20309
90,肖勒·艾迪尔,12,20120
91,丹尼洛·博斯尼乌克,17,20117
92,王柏崴,12,20040
93,赛·普拉尼斯·巴米迪帕提,15,19780
94,汉斯·克里斯蒂安·维廷哈斯,8,19730
95,梅拉巴鲁旺,22,19253
96,郭冠麟,20,18960
97,奇拉格·森,18,18890
98,马克斯·卫斯基兴,20,18669
99,阮海当,21,18570
100,乔兰·奎克尔,16,18557
1,安赛龙,16,105655
2,奈良冈功大,23,83515
3,李诗沣,23,83398
4,安东尼·西尼苏卡·金廷,20,83331
5,乔纳坦·克里斯蒂,18,82111
6,石宇奇,22,81824
7,昆拉武特·威提讪,19,81578
8,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,75487
9,安德斯·安东森,22,70930
10,骆建佑,22,68362
11,李梓嘉,24,68226
12,西本拳太,27,67217
13,常山干太,23,63821
14,周天成,28,61737
15,黄智勇,24,59840
16,拉克什亚·森,22,57851
17,李卓耀,27,57564
18,翁泓阳,21,57040
19,陆光祖,20,55570
20,伍家朗,25,54522
21,林俊易,26,51528
22,兹科·奥拉德维·瓦多约,19,49064
23,渡边航贵,17,48920
24,斯里坎特,22,48183
25,托马·朱尼尔·波波夫,24,47907
26,杨灿,26,47686
27,克里斯托·波波夫,21,46430
28,王子维,25,46040
29,拉斯穆斯·格姆克,15,45709
30,赵俊鹏,16,42708
31,普里耶修·拉贾瓦特,17,42110
32,马格纳斯·约翰森,20,39950
33,李佳豪,23,38548
34,大林拓真,12,38220
35,苏力扬,20,38150
36,王高伦,25,38024
37,基兰·乔治,20,36490
38,桃田贤斗,12,36300
39,梁峻豪,17,36298
40,戚又仁,21,35770
41,阮日,21,35363
42,凯文·科登,15,35282
43,阿诺·梅克尔,16,34259
44,亚历克斯·拉尼尔,13,34170
45,米沙·西尔伯曼,18,33731
46,朱利安·卡拉吉,21,33650
47,伊戈尔·科埃略·德奥利维拉,18,32830
48,雷兰曦,11,32347
49,简·劳达,18,31394
